filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
Body1_ABS_2h58m.gcode,job,completed,"Apr 13, 2025 5:35 PM",10678,10400,27847.22,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_6m20s.gcode,job,completed,"Apr 13, 2025 3:04 PM",380,382,567.988,OrcaSlicer 2.2.0,--,--,--,--,--
Body3_ABS_1h50m.gcode,job,completed,"Apr 13, 2025 10:34 AM",6586,6464,15867.126,OrcaSlicer 2.2.0,--,--,--,--,--
Body3_ABS_2h13m.gcode,job,completed,"Apr 13, 2025 8:22 AM",7972,7557,17543.791,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_3h10m.gcode,job,completed,"Apr 12, 2025 6:59 PM",11406,10891,27136.586,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_27m10s.gcode,job,completed,"Apr 12, 2025 2:37 PM",1630,1623,3761.763,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_27m10s.gcode,job,error,"Apr 12, 2025 2:29 PM",1630,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_2h4m.gcode,job,completed,"Apr 12, 2025 12:01 PM",7467,7064,17321.302,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_1h18m.gcode,job,completed,"Apr 12, 2025 10:37 AM",4676,4610,9589.073,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_2h25m.gcode,job,completed,"Apr 12, 2025 8:33 AM",8704,7117,19736.277,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_5h52m.gcode,job,completed,"Apr 11, 2025 5:28 PM",21099,20105,52341.07,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_3h8m.gcode,job,completed,"Apr 11, 2025 2:13 PM",11274,10823,27270.315,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_3h45m.gcode,job,completed,"Apr 11, 2025 11:23 AM",13477,6610,30484.297,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_1h47m.gcode,job,completed,"Apr 11, 2025 9:04 AM",6440,6065,14567.618,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_1h45m.gcode,job,error,"Apr 10, 2025 8:20 PM",6319,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
Flush_Clip_Small_ABS_23m55s.gcode,job,completed,"Apr 10, 2025 7:51 PM",1435,1523,831.536,OrcaSlicer 2.2.0,--,--,--,--,--
Flush_Clip_Small_ABS_23m55s.gcode,job,completed,"Apr 10, 2025 7:20 PM",1435,1523,831.536,OrcaSlicer 2.2.0,--,--,--,--,--
4er_ABS_2h22m.gcode,job,completed,"Apr 6, 2025 10:13 AM",8512,8323,16360.814,OrcaSlicer 2.2.0,--,--,--,--,--
4er_ABS_2h22m.gcode,job,klippy_shutdown,"Apr 6, 2025 9:44 AM",8512,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
4er_ABS_2h22m.gcode,job,error,"Apr 6, 2025 9:41 AM",8512,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
Flush_Clip_Small_ABS_40m51s.gcode,job,completed,"Apr 6, 2025 8:48 AM",2451,2535,2110.804,OrcaSlicer 2.2.0,--,--,--,--,--
misumi-hfsb5-2020-slot-cover_ABS_29m33s.gcode,job,completed,"Apr 6, 2025 8:27 AM",1773,1044,1905.196,OrcaSlicer 2.2.0,--,--,--,--,--
misumi-hfsb5-2020-slot-cover_ABS_58m19s.gcode,job,completed,"Apr 1, 2025 7:38 PM",3499,3735,2647.822,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_8h55m.gcode,job,completed,"Mar 31, 2025 6:08 PM",32127,31281,82761.148,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_2h40m.gcode,job,completed,"Mar 30, 2025 6:33 PM",9586,9328,24907.246,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_8h57m.gcode,job,completed,"Mar 30, 2025 9:21 AM",32247,31402,83014.121,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_8h57m.gcode,job,completed,"Mar 30, 2025 7:32 AM",32247,5920,83003.121,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_8h57m.gcode,job,completed,"Mar 28, 2025 5:15 PM",32247,31402,83014.121,OrcaSlicer 2.2.0,--,--,--,--,--
Pauls LED Clips 1515 Angled_ABS_53m40s.gcode,job,completed,"Mar 28, 2025 1:30 PM",3220,3362,3887.266,OrcaSlicer 2.2.0,--,--,--,--,--
